country,population,region,"estimated prevalence of modern slavery per 1,000 population",estimated number of people in modern slavery,governance issues,lack of basic needs,inequality,disenfranchised groups,effects of conflict,total vulnerability score (%),survivors of slavery are identified and supported to exit and remain out of modern slavery (%),criminal justice mechanisms function effectively to prevent modern slavery (%),"coordination occurs at the national and regional level and across borders, and governments are held to account for their response (%)","risk factors, such as attitudes, social systems, and institutions that enable modern slavery are addressed (%)",government and business stop sourcing goods and services produced by forced labour (%),government response total (%),year,corruption,year_democracy,democracy score,year_migration,migration
Chad,16426000,Africa,5.9,97000.0,86.0,55.0,56.0,80.0,57.0,84.0,14.0,38.0,13.0,36.0,0.0,24.0,2023.0,20.0,,,2023.0,-2000.0
Chile,19116000,Americas,3.2,61000.0,20.0,24.0,37.0,46.0,28.0,22.0,55.0,69.0,50.0,64.0,0.0,55.0,2023.0,66.0,2023.0,7.98,2023.0,-71205.0
China,1439324000,Asia and the Pacific,4.0,5771000.0,51.0,30.0,36.0,68.0,34.0,46.0,41.0,46.0,50.0,36.0,13.0,40.0,2023.0,42.0,2023.0,2.12,2023.0,-310220.0
Colombia,50883000,Americas,7.8,397000.0,44.0,32.0,62.0,58.0,58.0,51.0,45.0,46.0,63.0,57.0,13.0,46.0,2023.0,40.0,2023.0,6.55,2023.0,-175051.0
Costa Rica,5094000,Americas,3.2,16000.0,29.0,26.0,42.0,33.0,14.0,24.0,50.0,62.0,63.0,50.0,13.0,51.0,2023.0,55.0,2023.0,8.29,2023.0,3750.0
C�te d'Ivoire,26378000,Africa,7.3,193000.0,61.0,39.0,56.0,63.0,39.0,59.0,18.0,50.0,63.0,43.0,13.0,37.0,,,,,,
Croatia,4105000,Europe and Central Asia,5.2,22000.0,31.0,33.0,31.0,56.0,15.0,30.0,59.0,65.0,75.0,64.0,13.0,59.0,2023.0,50.0,2023.0,6.5,2023.0,-2000.0
Cuba,11327000,Americas,5.4,61000.0,56.0,35.0,37.0,45.0,20.0,43.0,27.0,38.0,50.0,29.0,0.0,31.0,2023.0,42.0,2023.0,2.65,2023.0,-6000.0
Cyprus,1207000,Europe and Central Asia,8.0,10000.0,17.0,24.0,33.0,54.0,26.0,21.0,64.0,62.0,63.0,57.0,25.0,58.0,2023.0,53.0,2023.0,7.38,2023.0,5000.0
Czechia,10709000,Europe and Central Asia,4.2,45000.0,14.0,20.0,24.0,48.0,15.0,13.0,59.0,62.0,88.0,57.0,25.0,59.0,2023.0,57.0,2023.0,7.97,2023.0,22011.0
Democratic Republic of the Congo,89561000,Africa,4.5,407000.0,84.0,64.0,67.0,76.0,92.0,94.0,32.0,42.0,50.0,36.0,13.0,36.0,2023.0,20.0,,,,
Denmark,5792000,Europe and Central Asia,0.6,4000.0,12.0,22.0,16.0,18.0,24.0,6.0,64.0,65.0,75.0,64.0,25.0,62.0,2023.0,90.0,2023.0,9.28,2023.0,19999.0
Djibouti,988000,Africa,7.1,7000.0,62.0,58.0,34.0,75.0,10.0,57.0,41.0,46.0,38.0,29.0,0.0,36.0,2023.0,30.0,2023.0,2.7,2023.0,900.0
Dominican Republic,10848000,Americas,6.6,72000.0,39.0,38.0,53.0,62.0,13.0,41.0,32.0,62.0,63.0,57.0,0.0,46.0,2023.0,35.0,2023.0,6.44,2023.0,-29099.0
Ecuador,17643000,Americas,7.6,135000.0,49.0,38.0,52.0,61.0,26.0,48.0,50.0,58.0,63.0,57.0,13.0,51.0,2023.0,34.0,2023.0,5.41,2023.0,-21525.0
Egypt,102334000,Africa,4.3,442000.0,56.0,39.0,38.0,83.0,53.0,59.0,55.0,42.0,38.0,57.0,0.0,44.0,2023.0,35.0,2023.0,2.93,,
