prevalence_per_1000,total_victims,governance_score,basic_needs_score,inequality_score,disenfranchised_score,conflict_score,vulnerability_total,victim_support_score,justice_score,coordination_score,risk_address_score,supply_chain_score,government_response_total,country,population,region,corruption_score,democracy_score,migration_rate,year
0.6,4000.0,12.0,22.0,16.0,18.0,24.0,6.0,64.0,65.0,75.0,64.0,25.0,62.0,Denmark,5792000,Europe and Central Asia,90.0,9.28,19999.0,2023
7.1,7000.0,62.0,58.0,34.0,75.0,10.0,57.0,41.0,46.0,38.0,29.0,0.0,36.0,Djibouti,988000,Africa,30.0,2.7,900.0,2023
6.6,72000.0,39.0,38.0,53.0,62.0,13.0,41.0,32.0,62.0,63.0,57.0,0.0,46.0,Dominican Republic,10848000,Americas,35.0,6.44,-29099.0,2023
7.6,135000.0,49.0,38.0,52.0,61.0,26.0,48.0,50.0,58.0,63.0,57.0,13.0,51.0,Ecuador,17643000,Americas,34.0,5.41,-21525.0,2023
4.3,442000.0,56.0,39.0,38.0,83.0,53.0,59.0,55.0,42.0,38.0,57.0,0.0,44.0,Egypt,102334000,Africa,35.0,2.93,-3958.0,2023
8.1,52000.0,54.0,34.0,67.0,62.0,21.0,52.0,45.0,58.0,50.0,43.0,0.0,45.0,El Salvador,6486000,Americas,31.0,4.71,-23249.0,2023
7.8,11000.0,73.0,60.0,55.0,77.0,7.0,69.0,27.0,27.0,25.0,14.0,0.0,22.0,Equatorial Guinea,1403000,Africa,17.0,6.17,4000.0,2023
90.3,320000.0,66.0,60.0,46.0,77.0,21.0,66.0,-5.0,23.0,25.0,-21.0,0.0,5.0,Eritrea,3546000,Africa,21.0,6.17,-15297.0,2023
4.1,5000.0,16.0,18.0,25.0,50.0,23.0,15.0,59.0,46.0,75.0,79.0,25.0,56.0,Estonia,1327000,Europe and Central Asia,76.0,7.96,-1000.0,2023
6.3,727000.0,54.0,59.0,41.0,79.0,70.0,67.0,41.0,54.0,50.0,57.0,0.0,45.0,Ethiopia,114964000,Africa,37.0,3.37,-11999.0,2023
1.4,8000.0,12.0,21.0,12.0,24.0,22.0,5.0,55.0,62.0,88.0,71.0,25.0,60.0,Finland,5541000,Europe and Central Asia,87.0,9.3,13999.0,2023
2.1,135000.0,11.0,21.0,28.0,33.0,38.0,13.0,41.0,81.0,88.0,57.0,38.0,62.0,France,65274000,Europe and Central Asia,71.0,8.07,67761.0,2023
7.6,17000.0,62.0,52.0,51.0,69.0,16.0,59.0,27.0,31.0,25.0,21.0,0.0,24.0,Gabon,2226000,Africa,28.0,2.18,1000.0,2023
6.5,16000.0,65.0,51.0,41.0,65.0,16.0,58.0,23.0,58.0,25.0,43.0,0.0,36.0,Gambia,2417000,Africa,37.0,4.47,-3958.0,2023
7.8,31000.0,40.0,27.0,34.0,68.0,29.0,38.0,68.0,65.0,75.0,71.0,0.0,62.0,Georgia,3989000,Europe and Central Asia,53.0,5.2,-9999.0,2023
0.6,47000.0,13.0,22.0,25.0,18.0,35.0,11.0,50.0,81.0,63.0,57.0,38.0,62.0,Germany,83784000,Europe and Central Asia,78.0,8.8,155751.0,2023
2.9,91000.0,43.0,44.0,47.0,62.0,21.0,45.0,45.0,54.0,63.0,36.0,13.0,45.0,Ghana,31073000,Africa,43.0,6.3,-9999.0,2023
