country,population,region,"est. prevalence of population in modern slavery (victims per 1,000 population)",est. number of people in modern slavery,factor one governance issues,factor two nourishment and access,factor three inequality,factor four disenfranchised groups,factor five effects of conflict,"final overall (normalised, weighted) vulnerability score",support survivors,%,criminal justice,%.1,coordination,%.2,neg government  complicity (1.4.3),neg state-imposed forced labour (1.8.1),address risk,%.3,supply chains,%.4,sum/104,sum neg,total,credit rating,year,corruption,year_democracy,democracy score,year_gdppercapita,gdp per capita,year_lfpr,female,male,total_lfpr,year_migration,migration
Bosnia and Herzegovina,3536000.0,Europe and Central Asia,3.4,12000,52.0,16.4,31.7,50.7,34.1,46.4,5.4,60.2,2.9,47.8,1.0,25.0,-1.0,0.0,5.3,76.2,0.0,0.0,14.6,-1.0,48.6,B,2018.0,38.0,2018.0,4.98,2018.0,14267.606,2018.0,43.678,68.37,56.084,2018.0,-29154.0
Botswana,2209000.0,Africa,3.4,8000,43.3,37.9,37.3,37.6,9.7,42.1,2.9,32.2,2.7,45.6,1.5,37.5,-1.0,0.0,3.2,45.2,0.0,0.0,10.3,-1.0,33.2,CCC,2018.0,61.0,2018.0,7.81,2018.0,14961.831,2018.0,60.251,70.391,65.226,2018.0,3819.0
Brazil,205962000.0,Americas,1.8,369000,43.1,13.6,56.2,19.8,24.0,36.4,3.5,38.9,2.9,47.8,3.5,87.5,0.0,0.0,5.2,73.8,0.5,26.7,15.6,0.0,55.6,BB,2018.0,35.0,2018.0,6.97,2018.0,14619.591,2018.0,60.774,80.194,70.367,2018.0,67934.0
Brunei Darussalam,418000.0,Asia and the Pacific,10.9,5000,53.5,30.9,31.7,41.2,18.2,47.2,1.6,17.8,1.2,19.4,0.0,0.0,0.0,0.0,3.0,42.9,0.0,0.0,5.8,0.0,20.6,CC,2018.0,63.0,,,,,2018.0,61.074,76.034,68.88,2018.0,-638.0
Bulgaria,7177000.0,Europe and Central Asia,4.5,32000,33.0,14.7,43.3,44.1,17.4,31.3,5.4,59.8,3.0,49.4,2.3,56.3,0.0,0.0,4.7,66.7,0.4,18.3,15.6,0.0,55.8,BB,2018.0,42.0,2018.0,7.03,2018.0,22196.02,2018.0,67.609,76.074,71.9,2018.0,-12115.0
Burkina Faso,18111000.0,Africa,4.5,82000,58.4,31.6,40.3,35.2,26.2,53.1,3.4,38.1,1.8,30.0,1.8,43.8,0.0,0.0,3.0,42.9,0.0,0.0,10.0,0.0,35.7,CCC,2018.0,41.0,2018.0,4.75,2018.0,2051.2185,2018.0,59.249,74.4,66.729,2018.0,-23971.0
Burundi,10199000.0,Africa,40.0,408000,72.4,42.6,42.1,48.1,41.7,72.9,2.0,22.2,0.7,11.1,0.5,12.5,-1.0,-1.0,1.8,26.2,0.0,0.0,5.0,-2.0,10.7,C,2018.0,17.0,2018.0,2.33,2018.0,740.44824,2018.0,81.008,79.523,80.275,2018.0,68145.0
Cambodia,15518000.0,Asia and the Pacific,16.8,261000,66.3,38.5,41.6,56.7,14.8,63.5,3.6,40.4,2.8,46.7,1.8,43.8,0.0,0.0,2.3,33.3,0.0,0.0,10.5,0.0,37.6,CCC,2018.0,20.0,2018.0,3.59,2018.0,4217.6216,2018.0,72.136,83.726,77.871,2018.0,-51685.0
Cameroon,22835000.0,Africa,6.9,157000,65.9,36.5,46.2,46.3,53.9,69.6,2.4,26.7,1.5,24.4,0.8,18.8,-1.0,0.0,3.5,50.0,0.0,0.0,8.1,-1.0,25.4,CC,2018.0,25.0,2018.0,3.28,2018.0,3732.5012,2018.0,67.833,77.31,72.545,2018.0,-9185.0
Canada,35950000.0,Americas,0.5,17000,16.6,20.7,20.1,9.2,21.5,10.2,4.7,52.4,4.4,72.8,3.0,75.0,0.0,0.0,4.3,61.9,0.0,0.0,16.4,0.0,58.6,BB,2018.0,81.0,2018.0,9.15,2018.0,48946.246,2018.0,75.492,81.685,78.607,2018.0,417974.0
Cape Verde,533000.0,Africa,4.1,2000,48.7,19.7,44.1,44.1,22.1,44.5,2.1,23.5,1.0,16.1,1.0,25.0,0.0,0.0,2.3,33.3,0.0,0.0,6.4,0.0,22.9,CC,,,2018.0,7.88,2018.0,7314.3013,,,,,,
Central African Republic,4546000.0,Africa,22.3,101000,85.4,50.2,62.7,58.0,81.6,100.0,-0.3,-3.7,0.0,0.6,0.5,12.5,-1.0,0.0,1.5,21.4,0.0,0.0,1.7,-1.0,2.5,D,2018.0,26.0,2018.0,1.52,2018.0,854.64746,2018.0,63.742,77.691,70.662,2018.0,-53083.0
Chad,14009000.0,Africa,12.0,168000,71.8,43.2,48.5,46.5,46.1,74.9,1.5,16.7,0.8,13.9,0.5,12.5,-1.0,0.0,2.8,40.5,0.0,0.0,5.7,-1.0,16.7,C,2018.0,19.0,2018.0,1.61,2018.0,1563.544,2018.0,48.681,71.4,60.01,2018.0,46664.0
Chile,17763000.0,Americas,0.8,14000,28.5,13.8,50.0,23.5,20.3,25.6,6.9,76.5,3.2,53.9,2.0,50.0,0.0,0.0,5.3,76.2,0.0,0.0,17.5,0.0,62.3,BBB,2018.0,67.0,2018.0,7.97,2018.0,25071.99,2018.0,56.224,75.966,66.127,2018.0,237358.0
China,1397029000.0,Asia and the Pacific,2.8,3864000,61.4,20.5,26.9,32.4,44.2,50.6,2.1,23.5,1.8,29.4,1.8,43.8,-1.0,-1.0,3.7,52.4,0.4,18.3,9.7,-2.0,27.4,CC,2018.0,39.0,2018.0,3.32,2018.0,15133.996,2018.0,69.992,80.707,75.495,2018.0,-296674.0
Colombia,48229000.0,Americas,2.7,131000,45.7,19.2,56.4,32.6,63.5,51.6,3.6,40.4,2.5,42.2,2.5,62.5,-1.0,-1.0,4.8,69.0,0.0,0.0,13.5,-2.0,41.1,B,2018.0,36.0,2018.0,6.96,2018.0,14426.435,2018.0,58.049,81.803,69.783,2018.0,494364.0
Congo,4996000.0,Africa,8.0,40000,75.1,37.6,48.5,46.1,19.6,69.2,0.8,8.3,0.4,6.7,1.0,25.0,-1.0,0.0,3.0,42.9,0.0,0.0,5.2,-1.0,14.8,C,,,2018.0,3.31,2018.0,4144.949,,,,,,
"Congo, Democratic Republic of the",76197000.0,Africa,13.7,1045000,77.2,50.8,55.6,46.5,86.7,91.7,2.3,25.9,1.5,24.4,1.5,37.5,-1.0,0.0,1.0,14.3,0.0,0.0,6.3,-1.0,18.9,C,,,,,,,,,,,,
Costa Rica,4808000.0,Americas,1.3,6000,35.2,16.7,40.7,29.4,12.2,28.4,4.8,53.7,2.5,41.7,2.5,62.5,0.0,0.0,4.2,59.5,0.0,0.0,14.0,0.0,50.0,BB,2018.0,56.0,2018.0,8.07,2018.0,20503.277,2018.0,54.191,81.199,67.774,2018.0,4198.0
C�te d'Ivoire,23108000.0,Africa,5.9,137000,59.5,30.1,41.7,37.5,40.9,57.2,3.1,34.4,2.2,36.7,1.8,43.8,0.0,0.0,4.7,66.7,0.2,8.3,11.9,0.0,42.4,B,,,,,,,,,,,,
Croatia,4236000.0,Europe and Central Asia,6.0,25000,35.7,20.2,34.1,48.3,12.2,32.7,6.9,77.0,4.7,78.3,2.3,56.3,0.0,0.0,4.8,69.0,0.4,18.3,19.1,0.0,68.2,BBB,2018.0,48.0,2018.0,6.57,2018.0,28288.168,2018.0,62.001,70.861,66.473,2018.0,-13171.0
Cuba,11461000.0,Americas,3.8,43000,60.2,25.9,37.6,47.8,17.3,52.4,1.2,13.0,0.9,15.0,0.8,18.8,0.0,0.0,3.0,42.9,0.0,0.0,5.8,0.0,20.8,CC,2018.0,47.0,2018.0,3.0,,,2018.0,51.649,82.372,67.063,2018.0,-14219.0
Cyprus,1161000.0,Europe and Central Asia,4.2,5000,24.5,16.7,32.6,29.7,10.1,19.1,6.1,68.1,4.7,77.8,2.3,56.3,0.0,0.0,4.3,61.9,0.4,18.3,17.8,0.0,63.4,BBB,2018.0,59.0,2018.0,7.59,2018.0,39977.312,2018.0,68.696,77.121,72.962,2018.0,4977.0
Czech Republic,10604000.0,Europe and Central Asia,2.9,31000,25.1,13.9,21.0,37.1,18.2,19.1,4.2,47.0,3.3,54.4,3.3,81.3,0.0,0.0,3.5,50.0,0.6,28.3,14.8,0.0,52.9,BB,,,,,,,,,,,,
Denmark,5689000.0,Europe and Central Asia,1.6,9000,8.7,15.3,13.8,15.2,12.5,1.0,5.6,62.6,3.4,56.1,2.0,50.0,0.0,0.0,4.8,69.0,0.6,28.3,16.4,0.0,58.6,BB,2018.0,88.0,2018.0,9.22,2018.0,56178.773,2018.0,75.279,81.061,78.196,2018.0,23337.0
Djibouti,927000.0,Africa,7.1,7000,66.8,38.0,33.9,48.1,21.3,61.2,2.7,30.4,2.6,42.8,1.3,31.3,0.0,0.0,3.3,47.6,0.0,0.0,9.9,0.0,35.3,CCC,2018.0,31.0,2018.0,2.87,2018.0,4589.3784,2018.0,19.078,48.143,33.483,2018.0,1435.0
Dominica,,Americas,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,57.0,,,2018.0,11849.302,,,,,2018.0,194.0
Dominican Republic,10528000.0,Americas,4.0,42000,42.5,28.7,46.1,38.8,21.8,43.1,6.2,69.1,4.7,78.3,1.5,37.5,-1.0,0.0,4.8,69.0,0.0,0.0,17.3,-1.0,58.0,BB,2018.0,30.0,2018.0,6.54,2018.0,17484.121,2018.0,54.163,80.678,67.522,2018.0,-29944.0
