country,population,region,"est. prevalence of population in modern slavery (victims per 1,000 population)",est. number of people in modern slavery,factor one governance issues,factor two nourishment and access,factor three inequality,factor four disenfranchised groups,factor five effects of conflict,"final overall (normalised, weighted) vulnerability score",support survivors,%,criminal justice,%.1,coordination,%.2,neg government  complicity (1.4.3),neg state-imposed forced labour (1.8.1),address risk,%.3,supply chains,%.4,sum/104,sum neg,total,credit rating,year,corruption,year_democracy,democracy score,year_gdppercapita,gdp per capita,year_lfpr,female,male,total_lfpr,year_migration,migration
Ireland,4700000.0,Europe and Central Asia,1.7,8000,17.2,17.0,24.3,10.9,20.1,10.4,5.9,65.9,2.5,42.2,2.5,62.5,0.0,0.0,4.8,69.0,0.4,18.3,16.2,0.0,57.7,BB,2018.0,73.0,2018.0,9.15,2018.0,83746.15,2018.0,67.155,78.861,72.957,2018.0,33647.0
Israel,8065000.0,Europe and Central Asia,3.9,31000,35.8,19.1,27.5,48.5,38.6,36.4,5.2,57.2,3.4,56.1,1.8,43.8,0.0,0.0,4.3,61.9,0.0,0.0,14.6,0.0,52.1,BB,2018.0,61.0,2018.0,7.79,2018.0,40270.426,2018.0,70.351,76.678,73.521,2018.0,15615.0
Italy,59504000.0,Europe and Central Asia,2.4,145000,31.7,14.4,45.4,31.0,19.3,28.3,5.3,58.3,4.7,78.9,2.0,50.0,-1.0,0.0,5.8,83.3,0.5,26.7,18.4,-1.0,62.0,BBB,2018.0,52.0,2018.0,7.71,2018.0,42045.92,2018.0,56.587,75.363,65.968,2018.0,75863.0
Jamaica,2872000.0,Americas,2.6,7000,39.5,24.2,62.2,47.8,15.5,44.2,4.6,50.6,4.4,72.8,3.0,75.0,0.0,0.0,4.5,64.3,0.0,0.0,16.4,0.0,58.6,BB,2018.0,44.0,2018.0,7.02,2018.0,10160.764,2018.0,62.675,75.661,69.126,2018.0,-11329.0
Japan,127975000.0,Asia and the Pacific,0.3,37000,21.5,13.1,15.5,31.9,17.8,13.8,3.9,43.5,2.7,44.4,1.5,37.5,-1.0,0.0,3.2,45.2,0.0,0.0,11.3,-1.0,36.6,CCC,2018.0,73.0,2018.0,7.99,2018.0,41763.82,2018.0,71.89,86.842,79.455,2018.0,177470.0
Jordan,9159000.0,Arab States,1.8,17000,57.9,15.7,41.8,47.4,26.2,49.9,4.3,48.1,2.6,42.8,1.3,31.3,0.0,0.0,2.7,38.1,0.0,0.0,10.8,0.0,38.6,CCC,2018.0,49.0,2018.0,3.93,2018.0,9584.507,2018.0,15.461,63.901,41.045,2018.0,33554.0
Kazakhstan,17750000.0,Europe and Central Asia,4.2,75000,60.4,14.5,25.1,38.2,19.5,43.3,3.9,42.8,3.0,50.0,1.5,37.5,-1.0,0.0,1.8,26.2,0.0,0.0,10.2,-1.0,32.8,CCC,2018.0,31.0,2018.0,2.94,2018.0,25544.346,2018.0,73.665,82.243,77.779,2018.0,-31760.0
Kenya,47236000.0,Africa,6.9,328000,55.1,48.7,49.6,44.5,66.8,70.6,3.2,35.7,2.3,38.9,1.5,37.5,-1.0,0.0,4.2,59.5,0.0,0.0,11.2,-1.0,36.5,CCC,2018.0,27.0,2018.0,5.11,2018.0,4464.813,2018.0,72.189,76.689,74.421,2018.0,-115434.0
Kiribati,112000.0,Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,2039.4298,,,,,2018.0,-776.0
"Korea, Democratic People's Republic of",25244000.0,Asia and the Pacific,104.6,2640000,87.6,52.0,30.3,32.4,12.3,73.3,0.0,0.0,-0.4,-6.7,0.5,12.5,-1.0,-1.0,0.3,4.8,0.0,0.0,0.4,-2.0,-5.6,D,,,,,,,,,,,,
"Korea, Republic of",50594000.0,Asia and the Pacific,1.9,99000,33.9,29.4,25.7,33.8,13.4,29.8,3.2,35.9,1.7,27.8,0.5,12.5,0.0,0.0,2.3,33.3,0.0,0.0,7.7,0.0,27.6,CC,,,,,,,,,,,,
Kosovo,1905000.0,Europe and Central Asia,4.0,8000,53.1,16.0,39.3,49.7,12.0,43.8,6.0,66.7,3.1,62.7,1.5,37.5,0.0,0.0,4.2,59.5,0.0,0.0,14.8,0.0,54.8,BB,2018.0,37.0,,,2018.0,10755.168,,,,,2018.0,-34137.0
Kuwait,3936000.0,Arab States,1.5,6000,59.7,20.1,29.3,29.3,28.5,45.9,2.6,28.7,2.0,33.9,1.0,25.0,-1.0,0.0,3.2,45.2,0.0,0.0,8.8,-1.0,27.8,CC,2018.0,41.0,2018.0,3.85,2018.0,48943.008,2018.0,51.051,88.509,74.794,2018.0,144967.0
Kyrgyzstan,5865000.0,Europe and Central Asia,4.1,24000,49.6,19.7,35.4,42.6,23.2,42.8,3.0,33.0,2.9,48.3,2.3,56.3,-1.0,0.0,4.3,61.9,0.0,0.0,12.5,-1.0,40.9,B,2018.0,29.0,2018.0,5.11,2018.0,5133.152,,,,,,
Lao People's Democratic Republic,6664000.0,Asia and the Pacific,9.4,62000,70.7,35.1,26.4,41.2,13.9,57.5,3.5,38.9,2.2,36.7,2.0,50.0,-1.0,0.0,2.8,40.5,0.0,0.0,10.5,-1.0,34.0,CCC,,,,,,,,,,,,
Latvia,1993000.0,Europe and Central Asia,3.9,8000,31.7,15.9,23.8,44.0,10.3,24.6,4.2,47.0,3.7,61.7,3.8,93.8,0.0,0.0,5.0,71.4,0.4,18.3,17.1,0.0,60.9,BBB,2018.0,58.0,2018.0,7.38,2018.0,30051.018,2018.0,75.739,80.881,78.255,2018.0,-8632.0
Lebanon,5851000.0,Arab States,1.7,10000,59.1,22.6,48.1,44.8,47.8,58.9,3.1,33.9,1.8,30.0,1.3,31.3,0.0,0.0,2.7,38.1,0.0,0.0,8.8,0.0,31.3,CCC,2018.0,28.0,2018.0,4.63,2018.0,17937.568,2018.0,32.061,75.077,52.982,2018.0,-233520.0
Lesotho,2175000.0,Africa,4.2,9000,53.8,50.7,44.6,41.9,18.6,58.3,3.2,35.9,2.2,37.2,2.3,56.3,0.0,0.0,3.0,42.9,0.0,0.0,10.7,0.0,38.3,CCC,2018.0,41.0,2018.0,6.64,2018.0,2501.43,2018.0,59.592,73.317,66.413,2018.0,-3234.0
Liberia,4500000.0,Africa,7.4,33000,55.0,44.0,44.1,54.9,18.2,59.3,2.5,28.0,1.6,26.7,1.3,31.3,0.0,0.0,3.5,50.0,0.0,0.0,8.9,0.0,31.7,CCC,2018.0,32.0,2018.0,5.35,2018.0,1521.7335,2018.0,73.582,82.073,77.776,2018.0,-23226.0
Libya,6235000.0,Africa,7.7,48000,81.4,23.0,49.6,28.1,63.1,73.1,0.0,0.0,1.3,21.7,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.3,-2.0,-2.5,D,2018.0,17.0,2018.0,2.19,2018.0,25734.168,2018.0,36.837,64.524,50.878,2018.0,5835.0
Lithuania,2932000.0,Europe and Central Asia,5.8,17000,29.2,15.4,35.6,46.3,9.7,26.2,4.2,46.3,3.8,62.8,2.8,68.8,0.0,0.0,5.5,78.6,0.4,18.3,16.6,0.0,59.1,BB,2018.0,59.0,2018.0,7.5,2018.0,35446.707,2018.0,75.876,79.1,77.468,2018.0,-14451.0
Luxembourg,567000.0,Europe and Central Asia,1.5,"<1,000",17.7,13.7,24.5,12.1,14.3,8.4,4.3,47.4,2.0,33.9,2.8,68.8,0.0,0.0,3.5,50.0,0.2,8.3,12.7,0.0,45.4,B,2018.0,81.0,2018.0,8.81,2018.0,114164.47,2018.0,68.393,75.121,71.831,2018.0,10096.0
"Macedonia, the former Yugoslav Republic of",2079000.0,Europe and Central Asia,8.7,18000,48.4,17.4,42.5,50.6,27.3,45.6,6.3,70.4,4.0,67.2,3.0,75.0,0.0,0.0,4.3,61.9,0.0,0.0,17.7,0.0,63.2,BBB,,,,,,,,,,,,
Madagascar,24234000.0,Africa,7.5,182000,54.4,46.8,51.0,56.8,17.3,62.0,3.5,38.7,3.2,52.8,0.8,18.8,-1.0,-1.0,3.5,50.0,0.0,0.0,10.9,-2.0,31.8,CCC,2018.0,25.0,2018.0,5.22,2018.0,1557.3225,2018.0,84.58,89.177,86.88,2018.0,485.0
Malawi,17574000.0,Africa,7.5,131000,55.4,51.5,40.9,61.5,19.1,63.4,3.0,33.1,1.4,23.9,1.8,43.8,-1.0,0.0,2.3,33.3,0.0,0.0,8.5,-1.0,26.8,CC,2018.0,32.0,2018.0,5.49,2018.0,1478.4248,2018.0,64.456,73.339,68.716,2018.0,-3706.0
Malaysia,30723000.0,Asia and the Pacific,6.9,212000,36.2,28.4,39.6,41.2,27.8,39.2,3.6,40.0,3.2,53.9,2.3,56.3,-1.0,0.0,2.7,38.1,0.0,0.0,11.8,-1.0,38.4,CCC,2018.0,47.0,2018.0,6.88,2018.0,26835.807,2018.0,55.539,81.133,68.712,2018.0,60604.0
Mali,17468000.0,Africa,3.6,62000,55.3,24.4,35.5,35.9,66.3,55.9,3.5,38.9,2.1,35.6,2.0,50.0,0.0,-1.0,2.0,28.6,0.0,0.0,9.6,-1.0,30.8,CCC,2018.0,32.0,2018.0,5.41,2018.0,2185.5757,2018.0,57.497,82.215,70.02,2018.0,-40761.0
Malta,428000.0,Europe and Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,54.0,2018.0,8.21,2018.0,45116.074,2018.0,63.807,84.865,74.926,2018.0,11180.0
Mauritania,4182000.0,Africa,21.4,90000,67.3,33.7,39.3,50.5,22.3,62.0,0.6,6.5,1.5,25.0,0.8,18.8,-1.0,0.0,2.5,35.7,0.0,0.0,5.3,-1.0,15.5,C,2018.0,27.0,2018.0,3.82,2018.0,5367.2144,2018.0,27.156,58.551,42.128,2018.0,-2987.0
Mauritius,1259000.0,Africa,1.0,1000,25.5,17.7,33.6,31.1,12.2,21.2,3.9,43.7,2.3,38.9,0.0,0.0,0.0,0.0,3.5,50.0,0.0,0.0,9.8,0.0,34.9,CCC,2018.0,51.0,2018.0,8.22,2018.0,23018.516,2018.0,52.039,79.97,66.043,2018.0,-2209.0
Mexico,125891000.0,Americas,2.7,341000,47.3,23.7,59.0,37.8,68.8,57.3,4.8,53.7,3.8,62.8,2.3,56.3,-1.0,0.0,4.8,69.0,0.0,0.0,15.7,-1.0,52.4,BB,2018.0,28.0,2018.0,6.19,2018.0,20789.361,2018.0,47.404,82.213,64.308,2018.0,-99430.0
"Moldova, Republic of",4066000.0,Europe and Central Asia,5.5,22000,42.0,22.9,35.3,58.3,18.1,41.6,5.3,58.5,3.7,61.1,2.5,62.5,0.0,0.0,4.2,59.5,0.0,0.0,15.6,0.0,55.7,BB,,,,,,,,,,,,
Mongolia,2977000.0,Asia and the Pacific,12.3,37000,40.9,36.8,35.1,47.1,18.1,43.5,2.5,27.8,2.0,33.3,1.3,31.3,0.0,-1.0,3.8,54.8,0.0,0.0,9.6,-1.0,30.7,CCC,2018.0,37.0,2018.0,6.5,2018.0,12052.294,2018.0,55.122,69.997,62.492,2018.0,11426.0
Montenegro,628000.0,Europe and Central Asia,5.9,4000,39.4,15.0,37.4,50.9,18.3,35.8,7.1,79.3,4.2,70.0,2.3,56.3,0.0,0.0,4.3,61.9,0.0,0.0,17.9,0.0,64.0,BBB,2018.0,45.0,2018.0,5.74,2018.0,20686.713,2018.0,59.717,73.994,66.815,2018.0,-2024.0
Morocco,34803000.0,Africa,2.4,85000,60.7,18.8,38.1,35.7,22.0,48.3,0.6,6.5,3.4,56.7,1.3,31.3,0.0,0.0,5.0,71.4,0.0,0.0,10.2,0.0,36.5,CCC,2018.0,43.0,2018.0,4.99,2018.0,8072.0864,2018.0,23.76,73.501,48.792,2018.0,-89007.0
Mozambique,28011000.0,Africa,5.4,152000,48.6,48.3,40.5,48.1,30.0,57.0,5.2,57.6,3.0,49.4,1.3,31.3,-1.0,0.0,3.0,42.9,0.0,0.0,12.4,-1.0,40.7,B,2018.0,23.0,2018.0,3.85,2018.0,1297.8695,2018.0,78.701,79.522,79.1,2018.0,-12765.0
Myanmar,52404000.0,Asia and the Pacific,11.0,575000,58.1,43.8,26.1,46.0,70.2,65.9,5.2,58.0,1.1,18.3,1.8,43.8,-1.0,-1.0,3.0,42.9,0.0,0.0,11.1,-2.0,32.4,CCC,2018.0,29.0,2018.0,3.83,2018.0,4927.2524,2018.0,52.574,80.582,66.56,2018.0,-114634.0
Namibia,2426000.0,Africa,3.3,8000,44.6,38.4,55.9,38.8,10.4,48.1,3.1,34.1,1.7,27.8,0.8,18.8,0.0,0.0,3.8,54.8,0.0,0.0,9.3,0.0,33.3,CCC,2018.0,53.0,2018.0,6.25,2018.0,10266.171,2018.0,56.915,63.638,60.15,2018.0,-8596.0
Nauru,,Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,9896.362,,,,,2018.0,-39.0
Nepal,28656000.0,Asia and the Pacific,6.0,171000,52.0,35.6,32.2,8.7,34.7,44.1,3.2,35.2,2.5,41.7,2.0,50.0,-1.0,0.0,4.2,59.5,0.0,0.0,11.8,-1.0,38.7,CCC,2018.0,31.0,2018.0,5.18,2018.0,3719.3079,2018.0,29.97,57.026,42.421,2018.0,-81130.0
Netherlands,16938000.0,Europe and Central Asia,1.8,30000,12.8,13.6,26.0,16.0,12.2,6.1,6.5,72.2,4.3,72.2,3.0,75.0,0.0,0.0,6.5,92.9,0.7,36.7,21.1,0.0,75.2,A,2018.0,82.0,2018.0,8.89,2018.0,56060.914,2018.0,76.318,84.748,80.558,2018.0,60758.0
New Zealand,4615000.0,Asia and the Pacific,0.6,3000,12.2,18.4,16.2,7.0,7.0,1.9,4.8,53.7,2.9,47.8,1.8,43.8,0.0,0.0,6.7,95.2,0.0,0.0,16.1,0.0,57.6,BB,2018.0,87.0,2018.0,9.26,2018.0,42916.87,2018.0,77.219,86.12,81.616,2018.0,80419.0
Nicaragua,6082000.0,Americas,2.9,18000,48.2,24.5,43.3,35.3,22.8,43.9,3.1,34.4,4.2,70.0,1.0,25.0,0.0,0.0,4.7,66.7,0.0,0.0,13.0,0.0,46.3,B,2018.0,25.0,2018.0,3.63,2018.0,5636.7153,2018.0,51.215,84.563,67.572,2018.0,-20739.0
Niger,19897000.0,Africa,6.7,133000,61.9,41.2,37.0,45.0,50.4,65.6,2.6,29.1,2.1,35.6,1.0,25.0,-1.0,0.0,2.5,35.7,0.0,0.0,8.3,-1.0,25.9,CC,2018.0,34.0,2018.0,3.76,2018.0,1193.2727,2018.0,63.553,85.111,74.535,2018.0,-3816.0
Nigeria,181182000.0,Africa,7.7,1386000,54.1,41.3,50.2,47.1,95.5,74.1,5.3,58.9,3.2,53.3,2.0,50.0,-1.0,0.0,3.3,47.6,0.0,0.0,13.8,-1.0,45.8,B,2018.0,27.0,2018.0,4.44,2018.0,5089.778,2018.0,52.826,65.334,59.136,2018.0,-81384.0
Norway,5200000.0,Europe and Central Asia,1.8,9000,15.7,17.8,13.1,9.4,10.8,4.5,6.1,68.1,5.0,82.8,2.3,56.3,0.0,0.0,5.2,73.8,0.2,10.0,18.7,0.0,66.8,BBB,2018.0,84.0,2018.0,9.87,2018.0,64696.473,2018.0,75.341,80.149,77.804,2018.0,18388.0
Oman,4200000.0,Arab States,2.1,9000,68.7,20.5,37.8,33.4,6.4,50.1,2.9,32.4,1.4,22.8,0.5,12.5,0.0,0.0,4.2,59.5,0.0,0.0,9.0,0.0,32.0,CCC,2018.0,52.0,2018.0,3.04,2018.0,34212.105,2018.0,32.152,90.259,72.411,2018.0,-51177.0
Pakistan,189381000.0,Asia and the Pacific,16.8,3186000,56.8,36.2,45.9,55.3,92.8,74.1,1.9,21.5,0.9,15.6,0.5,12.5,-1.0,0.0,2.8,40.5,0.0,0.0,6.2,-1.0,18.6,C,2018.0,33.0,2018.0,4.17,2018.0,5113.434,2018.0,22.629,82.08,52.689,2018.0,-1309609.0
Palau,,Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,17816.092,,,,,2018.0,8.0
Panama,3969000.0,Americas,2.1,8000,44.2,21.0,42.6,33.1,9.4,36.4,2.9,32.6,3.6,60.0,1.3,31.3,-1.0,0.0,5.5,78.6,0.0,0.0,13.3,-1.0,43.9,B,2018.0,37.0,2018.0,7.05,2018.0,32259.22,2018.0,57.01,81.917,69.491,2018.0,11130.0
Papua New Guinea,7920000.0,Asia and the Pacific,10.3,81000,64.8,63.3,46.2,9.5,13.3,61.9,2.4,26.5,1.8,30.6,0.3,6.3,-1.0,0.0,1.8,26.2,0.0,0.0,6.3,-1.0,18.9,C,2018.0,28.0,2018.0,6.03,2018.0,3865.0115,2018.0,47.95,49.507,48.753,2018.0,24688.0
Paraguay,6639000.0,Americas,1.6,11000,38.3,21.0,64.7,32.7,22.7,40.9,2.4,26.1,3.4,56.7,1.5,37.5,-1.0,0.0,5.0,71.4,0.2,10.0,12.5,-1.0,40.9,B,2018.0,29.0,2018.0,6.24,2018.0,13848.499,2018.0,62.978,87.014,75.047,2018.0,-16470.0
Peru,31377000.0,Americas,2.6,80000,44.3,24.7,48.0,38.2,27.5,44.3,6.8,75.9,2.5,42.2,2.5,62.5,-1.0,0.0,3.8,54.8,0.0,0.0,15.7,-1.0,52.5,BB,2018.0,35.0,2018.0,6.6,2018.0,12696.236,2018.0,73.828,87.794,80.723,2018.0,326831.0
Philippines,101716000.0,Asia and the Pacific,7.7,784000,50.5,35.3,45.7,36.4,69.3,60.2,4.6,51.5,4.2,69.4,2.0,50.0,0.0,0.0,4.8,69.0,0.0,0.0,15.6,0.0,55.8,BB,2018.0,36.0,2018.0,6.71,2018.0,8365.732,2018.0,47.197,74.526,61.074,2018.0,-15371.0
Poland,38265000.0,Europe and Central Asia,3.4,128000,24.5,13.7,27.5,59.6,13.6,24.4,4.8,53.3,2.5,42.2,2.8,68.8,0.0,0.0,4.8,69.0,0.2,8.3,15.1,0.0,53.9,BB,2018.0,60.0,2018.0,6.67,2018.0,31739.258,2018.0,63.485,77.137,70.308,2018.0,-8736.0
Portugal,10418000.0,Europe and Central Asia,2.5,26000,12.2,15.6,31.7,20.7,9.7,8.5,5.6,62.6,4.2,69.4,2.8,68.8,0.0,0.0,5.8,83.3,0.2,8.3,18.6,0.0,66.3,BBB,2018.0,64.0,2018.0,7.84,2018.0,34040.727,2018.0,72.376,78.111,75.145,2018.0,10177.0
Qatar,2482000.0,Arab States,1.5,4000,56.3,13.8,29.5,33.4,7.0,37.7,4.8,53.0,1.9,31.7,1.3,31.3,-1.0,0.0,3.0,42.9,0.0,0.0,10.9,-1.0,35.4,CCC,2018.0,62.0,2018.0,3.19,2018.0,91461.62,2018.0,59.568,96.18,88.225,2018.0,11662.0
Romania,19877000.0,Europe and Central Asia,4.3,86000,35.8,19.5,32.6,52.0,16.1,33.9,4.8,53.3,3.1,52.2,2.0,50.0,-1.0,0.0,3.0,42.9,0.4,18.3,13.3,-1.0,43.9,B,2018.0,47.0,2018.0,6.38,2018.0,28736.217,2018.0,58.241,76.901,67.585,2018.0,-57865.0
Russian Federation,143888000.0,Europe and Central Asia,5.5,794000,59.3,13.5,38.6,34.1,51.9,51.6,1.5,17.0,1.9,32.2,1.5,37.5,-1.0,-1.0,2.8,40.5,0.0,0.0,7.8,-2.0,20.7,CC,,,,,,,2018.0,69.469,80.235,74.646,2018.0,336527.0
Rwanda,11630000.0,Africa,11.6,134000,56.6,40.8,40.0,55.7,34.0,61.7,3.3,36.9,2.5,41.7,1.8,43.8,-1.0,-1.0,3.8,54.8,0.0,0.0,11.4,-2.0,33.6,CCC,2018.0,56.0,2018.0,3.35,2018.0,2049.6235,2018.0,56.143,68.478,62.081,2018.0,-10794.0
Saint Kitts and Nevis,,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,29934.469,,,,,,
Saint Lucia,177000.0,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,15622.774,,,,,,
Saint Vincent and the Grenadines,109000.0,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,14042.174,,,,,,
Samoa,194000.0,Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,6139.6294,2018.0,44.0,69.62,57.084,2018.0,-2739.0
Saudi Arabia,31557000.0,Arab States,1.9,61000,63.2,21.9,30.1,14.2,32.2,46.3,2.9,32.4,2.6,42.8,1.5,37.5,-1.0,0.0,1.8,26.2,0.0,0.0,8.8,-1.0,27.9,CC,2018.0,49.0,2018.0,1.93,2018.0,47714.113,2018.0,22.92,80.021,57.697,2018.0,253245.0
Senegal,14977000.0,Africa,2.9,43000,43.9,34.8,35.6,41.0,30.9,46.2,4.5,49.6,2.6,43.9,2.3,56.3,0.0,0.0,3.8,54.8,0.0,0.0,13.2,0.0,47.1,B,2018.0,45.0,2018.0,6.15,2018.0,3368.8586,2018.0,37.846,63.7,50.344,2018.0,-19973.0
Serbia,8851000.0,Europe and Central Asia,3.3,30000,39.1,15.2,31.6,40.9,27.5,33.9,5.8,63.9,4.5,75.0,2.3,56.3,0.0,0.0,4.8,69.0,0.0,0.0,17.3,0.0,61.9,BBB,2018.0,39.0,2018.0,6.41,2018.0,17452.916,2018.0,61.038,75.491,68.196,2018.0,3346.0
Seychelles,94000.0,Africa,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,66.0,,,2018.0,28080.635,,,,,2018.0,276.0
Sierra Leone,7237000.0,Africa,5.0,36000,50.9,46.1,41.2,48.1,18.1,55.2,4.8,53.7,2.3,37.8,2.0,50.0,0.0,0.0,3.8,54.8,0.0,0.0,13.5,0.0,46.2,B,2018.0,30.0,2018.0,4.66,2018.0,1610.3232,2018.0,52.769,57.152,54.963,2018.0,-2741.0
Singapore,5535000.0,Asia and the Pacific,3.4,19000,30.8,16.3,5.0,18.7,9.0,13.4,3.6,40.0,1.3,22.2,1.3,31.3,0.0,0.0,3.0,42.9,0.0,0.0,9.2,0.0,32.8,CCC,2018.0,85.0,2018.0,6.38,2018.0,98280.04,2018.0,68.68,83.014,76.311,2018.0,35726.0
Slovakia,5439000.0,Europe and Central Asia,2.9,16000,29.9,15.1,29.9,51.2,14.2,27.2,4.4,48.7,3.1,52.2,2.5,62.5,0.0,0.0,4.5,64.3,0.4,18.3,14.9,0.0,53.2,BB,,,2018.0,7.1,2018.0,31313.82,,,,,,
Slovenia,2075000.0,Europe and Central Asia,2.2,5000,22.4,16.6,30.6,45.6,6.4,20.1,5.4,60.4,3.5,57.8,2.3,56.3,0.0,0.0,5.2,73.8,0.4,18.3,16.7,0.0,59.6,BB,2018.0,60.0,2018.0,7.5,2018.0,37995.715,2018.0,71.494,77.665,74.695,2018.0,7559.0
Solomon Islands,587000.0,Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,44.0,,,2018.0,2633.3342,2018.0,83.912,86.665,85.305,2018.0,-1603.0
Somalia,13908000.0,Africa,15.5,216000,80.6,56.8,49.6,22.7,88.4,89.5,0.7,8.1,1.2,20.6,1.0,25.0,-1.0,0.0,2.5,35.7,0.0,0.0,5.5,-1.0,16.0,C,2018.0,10.0,,,2018.0,1547.9973,2018.0,21.839,48.3,35.024,2018.0,40844.0
South Africa,55291000.0,Africa,2.8,155000,46.7,38.3,61.0,36.9,26.9,53.8,4.8,53.7,3.7,61.7,1.8,43.8,-1.0,0.0,4.0,57.1,0.0,0.0,14.3,-1.0,47.4,B,2018.0,43.0,2018.0,7.24,2018.0,13995.0625,2018.0,56.455,68.242,62.202,2018.0,27265.0
South Sudan,11882000.0,Africa,20.5,243000,75.7,51.1,62.9,56.1,85.7,94.7,,,,,,,,,,,,,,,,,2018.0,13.0,,,,,2018.0,71.762,71.516,71.642,2018.0,-297041.0
Spain,46398000.0,Europe and Central Asia,2.3,105000,17.2,18.3,33.5,15.1,14.2,12.8,7.1,79.3,3.9,65.6,2.5,62.5,0.0,0.0,5.2,73.8,0.0,0.0,18.7,0.0,66.9,BBB,2018.0,58.0,2018.0,8.08,2018.0,40276.906,2018.0,68.631,78.829,73.744,2018.0,339064.0
Sri Lanka,20714000.0,Asia and the Pacific,2.1,44000,44.1,27.0,33.5,34.9,35.9,42.5,2.4,26.7,2.6,42.8,1.0,25.0,-1.0,0.0,5.5,78.6,0.0,0.0,11.5,-1.0,37.4,CCC,2018.0,38.0,2018.0,6.19,2018.0,13753.055,2018.0,37.006,76.822,56.297,2018.0,-97100.0
Sudan,38648000.0,Africa,12.0,465000,80.7,46.6,42.4,37.0,87.4,87.1,0.3,2.8,1.6,26.7,1.0,25.0,-1.0,0.0,2.3,33.3,0.0,0.0,5.2,-1.0,14.9,C,2018.0,16.0,2018.0,2.15,2018.0,4349.21,2018.0,29.794,69.737,49.597,2018.0,74198.0
Suriname,553000.0,Americas,2.3,1000,55.5,10.7,50.8,28.1,16.3,42.1,2.2,24.3,0.3,5.6,1.3,31.3,0.0,0.0,3.8,54.8,0.0,0.0,7.6,0.0,27.1,CC,2018.0,43.0,2018.0,6.98,2018.0,18438.348,2018.0,50.999,72.479,61.823,2018.0,-862.0
Swaziland,1319000.0,Africa,8.8,12000,69.9,50.0,39.4,38.8,11.7,64.8,3.3,36.3,1.1,18.3,1.5,37.5,0.0,-1.0,3.3,47.6,0.0,0.0,9.2,-1.0,29.3,CC,,,,,,,,,,,,
Sweden,9764000.0,Europe and Central Asia,1.6,15000,10.2,17.0,17.4,13.0,18.3,4.3,6.6,73.1,3.9,64.4,3.3,81.3,0.0,0.0,5.2,73.8,0.4,18.3,19.2,0.0,68.7,BBB,2018.0,85.0,2018.0,9.39,2018.0,52349.293,2018.0,81.021,84.363,82.729,2018.0,81492.0
Switzerland,8320000.0,Europe and Central Asia,1.7,14000,11.6,12.2,15.2,20.1,4.9,1.5,6.0,66.7,3.6,60.6,1.5,37.5,0.0,0.0,5.7,81.0,0.0,0.0,16.8,0.0,60.0,BBB,2018.0,85.0,2018.0,9.03,2018.0,69629.336,2018.0,79.717,88.264,84.04,2018.0,40899.0
Syrian Arab Republic,18735000.0,Arab States,7.3,136000,85.6,36.9,62.5,33.4,95.4,92.3,,,,,,,,,,,,,,,,,,,,,,,2018.0,14.874,66.005,40.413,2018.0,513647.0
"Taiwan, China",23486000.0,Asia and the Pacific,0.5,12000,24.5,24.7,40.6,21.1,1.4,20.3,4.2,46.9,1.9,38.7,1.0,25.0,0.0,0.0,3.0,42.9,0.2,8.3,10.3,0.0,38.2,CCC,2018.0,63.0,,,,,,,,,,
Tajikistan,8549000.0,Europe and Central Asia,4.5,39000,67.4,30.9,32.8,27.8,30.1,55.8,3.5,38.9,2.2,36.1,1.8,43.8,-1.0,0.0,2.8,40.5,0.0,0.0,10.3,-1.0,33.0,CCC,2018.0,25.0,2018.0,1.93,2018.0,3405.1135,2018.0,32.757,52.92,42.792,2018.0,-10135.0
"Tanzania, United Republic of",53880000.0,Africa,6.2,336000,55.5,47.3,34.9,52.7,29.1,60.5,3.4,37.2,2.5,41.7,1.0,25.0,-1.0,0.0,3.3,47.6,0.0,0.0,10.2,-1.0,32.8,CCC,,,,,,,,,,,,
Thailand,68658000.0,Asia and the Pacific,8.9,610000,50.9,21.8,35.3,45.1,51.9,51.1,4.2,46.3,3.1,51.7,2.3,56.3,-1.0,0.0,5.2,73.8,0.0,0.0,14.7,-1.0,48.9,B,2018.0,36.0,2018.0,4.63,2018.0,17669.045,2018.0,67.828,83.186,75.347,2018.0,9304.0
Timor-Leste,1241000.0,Asia and the Pacific,7.7,10000,58.4,41.9,37.2,41.2,3.9,52.8,3.0,33.1,1.0,16.7,1.0,25.0,0.0,0.0,3.0,42.9,0.0,0.0,8.0,0.0,28.5,CC,2018.0,35.0,,,,,2018.0,62.126,72.918,67.621,2018.0,-5352.0
