prevalence_per_1000,total_victims,governance_score,basic_needs_score,inequality_score,conflict_score,vulnerability_total,victim_support_score,justice_score,coordination_score,risk_address_score,supply_chain_score,government_response_total,lfpr_female,lfpr_male,lfpr_total,country,population,corruption_score,democracy_score,gdp_per_capita,migration_rate,year
1.13,367600.0,83.0,47.39,53.31,84.55,67.06,37.6,37.2,37.5,54.8,0.0,39.7,20.946,75.615,48.449,Afghanistan,32527000.0,15.0,2.55,2101.422,-90238.0,2016
0.29,8600.0,52.88,29.58,42.36,18.25,35.77,73.7,46.3,43.8,61.9,0.0,55.3,58.861,74.956,66.911,Albania,2906000.0,39.0,5.91,12291.902,-10887.0,2016
0.63,248300.0,51.03,28.1,47.02,51.46,44.4,28.5,24.1,25.0,42.9,0.0,28.6,18.262,70.509,45.0,Algeria,39667000.0,34.0,3.56,11888.323,-36227.0,2016
0.64,159700.0,56.32,49.54,45.95,25.02,44.21,20.4,20.4,31.3,28.6,0.0,22.5,74.736,78.624,76.64,Angola,25022000.0,18.0,3.4,7487.9253,91623.0,2016
0.4,175500.0,35.63,18.5,34.04,25.36,28.38,49.3,59.8,87.5,78.6,0.0,60.8,55.471,77.636,66.619,Argentina,43417000.0,36.0,6.96,23189.527,5215.0,2016
0.47,14100.0,53.66,27.38,42.63,24.9,37.14,48.3,49.8,56.3,50.0,0.0,46.7,65.092,76.799,70.371,Armenia,3018000.0,33.0,3.88,11580.384,-26804.0,2016
0.02,4300.0,15.14,19.85,17.45,35.49,21.98,64.4,81.9,56.3,69.0,25.0,65.3,71.62,82.239,76.908,Australia,23772000.0,79.0,9.01,48107.066,242184.0,2016
0.02,1500.0,21.47,18.14,14.05,33.14,21.7,58.0,59.1,68.8,76.2,0.0,60.2,72.614,80.453,76.561,Austria,8566000.0,75.0,8.41,53345.742,66282.0,2016
0.47,45000.0,68.9,28.23,28.17,23.05,37.09,28.3,60.4,18.8,57.1,0.0,39.0,67.336,71.448,69.334,Azerbaijan,9635000.0,30.0,2.65,14232.192,1484.0,2016
0.47,6400.0,54.41,33.14,41.45,31.26,40.07,36.7,36.7,25.0,35.7,0.0,32.1,44.968,87.76,72.961,Bahrain,1377000.0,43.0,2.79,48486.305,29052.0,2016
0.95,1531300.0,46.78,46.04,33.63,50.02,44.12,39.4,60.4,68.8,59.5,0.0,50.3,34.866,81.293,57.731,Bangladesh,160996000.0,26.0,5.73,4589.0938,-55013.0,2016
0.21,600.0,39.7,15.41,67.0,1.0,30.78,39.4,29.3,50.0,38.1,0.0,35.6,73.107,78.395,75.65,Barbados,284000.0,61.0,5.93,16190.236,-65.0,2016
0.47,44600.0,58.41,20.48,35.88,23.8,34.64,35.4,26.1,43.8,52.4,0.0,36.3,74.714,80.616,77.547,Belarus,9550000.0,40.0,3.54,17883.19,15258.0,2016
0.02,2000.0,25.42,19.83,24.03,31.28,25.14,71.3,50.7,75.0,71.4,0.0,62.4,62.829,72.272,67.58,Belgium,11268000.0,77.0,7.77,49829.926,56781.0,2016
0.29,32100.0,46.95,36.52,39.7,14.9,34.52,38.7,20.6,56.3,66.7,0.0,41.5,61.25,70.967,66.09,Benin,10880000.0,36.0,5.67,2859.3916,3827.0,2016
0.47,17800.0,58.88,25.21,32.99,26.43,35.88,57.4,43.7,31.3,69.0,0.0,49.5,43.262,68.052,55.682,Bosnia and Herzegovina,3810000.0,39.0,4.87,13000.695,-32195.0,2016
0.52,11800.0,37.25,42.82,46.38,19.21,36.42,24.8,14.8,37.5,42.9,0.0,27.2,58.778,69.556,64.053,Botswana,2262000.0,60.0,7.87,14373.339,3129.0,2016
